Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,1845.859985,1845.859985,1827.7399899999998,1831.97998,3080600000,1831.97998
2014-01-03,1833.209961,1838.2399899999998,1829.130005,1831.369995,2774270000,1831.369995
2014-01-06,1832.310059,1837.160034,1823.72998,1826.77002,3294850000,1826.77002
2014-01-07,1828.709961,1840.0999760000002,1828.709961,1837.880005,3511750000,1837.880005
2014-01-08,1837.9000239999998,1840.02002,1831.4000239999998,1837.4899899999998,3652140000,1837.4899899999998
2014-01-09,1839.0,1843.22998,1830.380005,1838.130005,3581150000,1838.130005
2014-01-10,1840.060059,1843.1500239999998,1832.430054,1842.369995,3335710000,1842.369995
2014-01-13,1841.2600100000002,1843.449951,1815.52002,1819.199951,3591350000,1819.199951
2014-01-14,1821.359985,1839.2600100000002,1821.359985,1838.880005,3353270000,1838.880005
2014-01-15,1840.52002,1850.839966,1840.52002,1848.380005,3777800000,1848.380005
2014-01-16,1847.9899899999998,1847.9899899999998,1840.300049,1845.890015,3491310000,1845.890015
2014-01-17,1844.22998,1846.040039,1835.22998,1838.699951,3626120000,1838.699951
2014-01-21,1841.050049,1849.310059,1832.380005,1843.800049,3782470000,1843.800049
2014-01-22,1844.709961,1846.869995,1840.880005,1844.859985,3374170000,1844.859985
2014-01-23,1842.290039,1842.290039,1820.060059,1828.459961,3972250000,1828.459961
2014-01-24,1826.959961,1826.959961,1790.290039,1790.290039,4618450000,1790.290039
2014-01-27,1791.030029,1795.97998,1772.880005,1781.560059,4045200000,1781.560059
2014-01-28,1783.0,1793.869995,1779.4899899999998,1792.5,3437830000,1792.5
2014-01-29,1790.1500239999998,1790.1500239999998,1770.449951,1774.199951,3964020000,1774.199951
2014-01-30,1777.1700440000002,1798.77002,1777.1700440000002,1794.189941,3547510000,1794.189941
2014-01-31,1790.880005,1793.880005,1772.2600100000002,1782.589966,4059690000,1782.589966
2014-02-03,1782.680054,1784.8299559999998,1739.660034,1741.890015,4726040000,1741.890015
2014-02-04,1743.819946,1758.72998,1743.819946,1755.199951,4068410000,1755.199951
2014-02-05,1753.380005,1755.790039,1737.9200440000002,1751.640015,3984290000,1751.640015
2014-02-06,1752.9899899999998,1774.060059,1752.9899899999998,1773.430054,3825410000,1773.430054
2014-02-07,1776.0100100000002,1798.030029,1776.0100100000002,1797.02002,3775990000,1797.02002
2014-02-10,1796.199951,1799.939941,1791.8299559999998,1799.839966,3312160000,1799.839966
2014-02-11,1800.449951,1823.540039,1800.410034,1819.75,3699380000,1819.75
2014-02-12,1820.119995,1826.550049,1815.969971,1819.2600100000002,3326380000,1819.2600100000002
2014-02-13,1814.819946,1830.25,1809.219971,1829.8299559999998,3289510000,1829.8299559999998
2014-02-14,1828.459961,1841.6500239999998,1825.589966,1838.630005,3114750000,1838.630005
2014-02-18,1839.030029,1842.869995,1835.0100100000002,1840.7600100000002,3421110000,1840.7600100000002
2014-02-19,1838.9000239999998,1847.5,1826.9899899999998,1828.75,3661570000,1828.75
2014-02-20,1829.2399899999998,1842.790039,1824.5799559999998,1839.780029,3404980000,1839.780029
2014-02-21,1841.069946,1846.130005,1835.5999760000002,1836.25,3403880000,1836.25
2014-02-24,1836.780029,1858.709961,1836.780029,1847.609985,4014530000,1847.609985
2014-02-25,1847.660034,1852.910034,1840.189941,1845.119995,3515560000,1845.119995
2014-02-26,1845.790039,1852.6500239999998,1840.660034,1845.160034,3716730000,1845.160034
2014-02-27,1844.9000239999998,1854.530029,1841.130005,1854.290039,3547460000,1854.290039
2014-02-28,1855.119995,1867.9200440000002,1847.6700440000002,1859.449951,3917450000,1859.449951
2014-03-03,1857.680054,1857.680054,1834.439941,1845.72998,3428220000,1845.72998
2014-03-04,1849.22998,1876.22998,1849.22998,1873.910034,3765770000,1873.910034
2014-03-05,1874.050049,1876.530029,1871.109985,1873.810059,3392990000,1873.810059
2014-03-06,1874.180054,1881.939941,1874.180054,1877.030029,3360450000,1877.030029
2014-03-07,1878.52002,1883.569946,1870.560059,1878.040039,3564740000,1878.040039
2014-03-10,1877.859985,1877.869995,1867.040039,1877.1700440000002,3021350000,1877.1700440000002
2014-03-11,1878.2600100000002,1882.3499760000002,1863.880005,1867.630005,3392400000,1867.630005
2014-03-12,1866.1500239999998,1868.380005,1854.380005,1868.199951,3270860000,1868.199951
2014-03-13,1869.060059,1874.4000239999998,1841.859985,1846.339966,3670990000,1846.339966
2014-03-14,1845.069946,1852.439941,1839.569946,1841.130005,3285460000,1841.130005
2014-03-17,1842.810059,1862.300049,1842.810059,1858.8299559999998,2860490000,1858.8299559999998
2014-03-18,1858.9200440000002,1873.7600100000002,1858.9200440000002,1872.25,2930190000,1872.25
2014-03-19,1872.25,1874.140015,1850.3499760000002,1860.77002,3289210000,1860.77002
2014-03-20,1860.089966,1873.4899899999998,1854.630005,1872.0100100000002,3327540000,1872.0100100000002
2014-03-21,1874.530029,1883.969971,1863.459961,1866.52002,5270710000,1866.52002
2014-03-24,1867.6700440000002,1873.339966,1849.689941,1857.439941,3409000000,1857.439941
2014-03-25,1859.47998,1871.869995,1855.959961,1865.619995,3200560000,1865.619995
2014-03-26,1867.089966,1875.9200440000002,1852.560059,1852.560059,3480850000,1852.560059
2014-03-27,1852.109985,1855.550049,1842.109985,1849.040039,3733430000,1849.040039
2014-03-28,1850.069946,1866.630005,1850.069946,1857.619995,2955520000,1857.619995
2014-03-31,1859.160034,1875.180054,1859.160034,1872.339966,3274300000,1872.339966
2014-04-01,1873.959961,1885.839966,1873.959961,1885.52002,3336190000,1885.52002
2014-04-02,1886.609985,1893.1700440000002,1883.790039,1890.9000239999998,3131660000,1890.9000239999998
2014-04-03,1891.430054,1893.800049,1882.6500239999998,1888.77002,3055600000,1888.77002
2014-04-04,1890.25,1897.280029,1863.2600100000002,1865.089966,3583750000,1865.089966
2014-04-07,1863.9200440000002,1864.040039,1841.47998,1845.040039,3801540000,1845.040039
2014-04-08,1845.47998,1854.949951,1837.4899899999998,1851.959961,3721450000,1851.959961
2014-04-09,1852.640015,1872.430054,1852.380005,1872.180054,3308650000,1872.180054
2014-04-10,1872.280029,1872.530029,1830.869995,1833.0799559999998,3758780000,1833.0799559999998
2014-04-11,1830.6500239999998,1835.069946,1814.359985,1815.689941,3743460000,1815.689941
2014-04-14,1818.180054,1834.189941,1815.800049,1830.609985,3111540000,1830.609985
2014-04-15,1831.449951,1844.02002,1816.290039,1842.97998,3736440000,1842.97998
2014-04-16,1846.0100100000002,1862.310059,1846.0100100000002,1862.310059,3155080000,1862.310059
2014-04-17,1861.72998,1869.630005,1856.719971,1864.8499760000002,3341430000,1864.8499760000002
2014-04-21,1865.790039,1871.890015,1863.180054,1871.890015,2642500000,1871.890015
2014-04-22,1872.569946,1884.890015,1872.569946,1879.550049,3215440000,1879.550049
2014-04-23,1879.319946,1879.75,1873.910034,1875.390015,3085720000,1875.390015
2014-04-24,1881.969971,1884.060059,1870.2399899999998,1878.609985,3191830000,1878.609985
2014-04-25,1877.719971,1877.719971,1859.699951,1863.4000239999998,3213020000,1863.4000239999998
2014-04-28,1865.0,1877.0100100000002,1850.609985,1869.430054,4034680000,1869.430054
2014-04-29,1870.780029,1880.5999760000002,1870.780029,1878.3299559999998,3647820000,1878.3299559999998
2014-04-30,1877.0999760000002,1885.199951,1872.689941,1883.949951,3779230000,1883.949951
2014-05-01,1884.390015,1888.589966,1878.040039,1883.680054,3416740000,1883.680054
2014-05-02,1885.300049,1891.3299559999998,1878.5,1881.140015,3159560000,1881.140015
2014-05-05,1879.449951,1885.5100100000002,1866.77002,1884.660034,2733730000,1884.660034
2014-05-06,1883.689941,1883.689941,1867.719971,1867.719971,3327260000,1867.719971
2014-05-07,1868.530029,1878.8299559999998,1859.790039,1878.209961,3632950000,1878.209961
2014-05-08,1877.390015,1889.069946,1870.050049,1875.630005,3393420000,1875.630005
2014-05-09,1875.27002,1878.569946,1867.02002,1878.47998,3025020000,1878.47998
2014-05-12,1880.030029,1897.130005,1880.030029,1896.6500239999998,3005740000,1896.6500239999998
2014-05-13,1896.75,1902.1700440000002,1896.060059,1897.449951,2915680000,1897.449951
2014-05-14,1897.130005,1897.130005,1885.77002,1888.530029,2822060000,1888.530029
2014-05-15,1888.160034,1888.160034,1862.359985,1870.8499760000002,3552640000,1870.8499760000002
2014-05-16,1871.189941,1878.280029,1864.819946,1877.859985,3173650000,1877.859985
2014-05-19,1876.660034,1886.0,1872.4200440000002,1885.0799559999998,2664250000,1885.0799559999998
2014-05-20,1884.880005,1884.880005,1868.140015,1872.8299559999998,3007700000,1872.8299559999998
2014-05-21,1873.339966,1888.800049,1873.339966,1888.030029,2777140000,1888.030029
2014-05-22,1888.189941,1896.3299559999998,1885.390015,1892.4899899999998,2759800000,1892.4899899999998
2014-05-23,1893.319946,1901.2600100000002,1893.319946,1900.530029,2396280000,1900.530029
2014-05-27,1902.0100100000002,1912.280029,1902.0100100000002,1911.910034,2911020000,1911.910034
2014-05-28,1911.77002,1914.459961,1907.300049,1909.780029,2976450000,1909.780029
2014-05-29,1910.5999760000002,1920.030029,1909.819946,1920.030029,2709050000,1920.030029
2014-05-30,1920.3299559999998,1924.030029,1916.640015,1923.569946,3263490000,1923.569946
2014-06-02,1923.869995,1925.880005,1915.97998,1924.969971,2509020000,1924.969971
2014-06-03,1923.069946,1925.069946,1918.790039,1924.2399899999998,2867180000,1924.2399899999998
2014-06-04,1923.060059,1928.630005,1918.5999760000002,1927.880005,2793920000,1927.880005
2014-06-05,1928.52002,1941.7399899999998,1922.930054,1940.459961,3113270000,1940.459961
2014-06-06,1942.410034,1949.439941,1942.410034,1949.439941,2864300000,1949.439941
2014-06-09,1948.969971,1955.550049,1947.160034,1951.27002,2812180000,1951.27002
2014-06-10,1950.339966,1950.859985,1944.640015,1950.790039,2702360000,1950.790039
